"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"2007" 2008-08-27 0.0217092358508635 0.0112312658434748 0.0144770434685961 0.0059023267321332 -0.00080514045665192 0.0106347203446837 0.0031502958460019 0.0189418261492686 0.0137268371159178 0.0049150970495524 0.00798265363243189 0.88 0.27 0.3 0.006
"2008" 2008-08-28 0.0600338620888741 0.00768864843337735 0.0468496677699284 0.00741646095028514 0.019204315133305 0.0137877263051658 0.0135599841691945 0.0330127683501586 0.0218954986161659 0.0099512416829679 0.0148401444185158 1.51 0.15 1.81 0.006
"2009" 2008-08-29 -0.00922674228873932 -0.0305209173486111 -0.0100305853042635 -0.0127466777303541 -0.0141517678203964 -0.0232639116329901 -0.0174625478275598 -0.00744664324033428 -0.00986725955168655 -0.0135273828213506 -0.013723665512595 -1.25 0.24 0.62 0.006
"2010" 2008-09-02 0.0478483488503687 -0.012680561216558 0.0129903507892493 -0.0105746337079987 0.0146774564575198 -0.00696194927036775 0.0100331907847793 0.00812803808992069 0.020216586419181 0.00981947790947935 -0.00409251434724056 -0.44 0.31 2.02 0.007
"2011" 2008-09-03 0.0303216619386224 -0.046058487738998 0.0184663136589653 -0.00909456770399653 -0.0189160241862293 -0.00738070605484231 0.0134807801980867 0.00527103209178281 -0.00362867609763284 0.00234644534434225 -0.00203507889098409 -0.23 0.53 1.66 0.007
"2012" 2008-09-04 -0.0716018357351385 -0.047353881982439 -0.0453290010493897 -0.0290729781299005 -0.0275433338122896 -0.0204458133729494 -0.0137217059099572 -0.0259105044360914 -0.0417369695314259 -0.000166884478912332 -0.0299220572859505 -2.9 0.2 -0.47 0.007
"2013" 2008-09-05 0.0532681815820606 0.00438621091241975 0.0445796310581856 0.0113902606622793 0.0046650940022237 -0.0265655716993115 0.0048270252668916 -0.00253285054702546 -0.00379978552279425 0.0160589157074567 0.004430765097025 0.42 -0.83 1.58 0.007
"2014" 2008-09-08 0.0775673474726306 0.017467031704635 0.049242335830697 -0.0200856104133432 0.0351573619756624 0.0183236859398135 0.02246406593802 0.0333336864268166 0.0305167041806642 0.0207441134796937 0.0205101615457499 1.76 -0.57 2.2 0.007
"2015" 2008-09-09 -0.0636334812882682 -0.0305194631475914 -0.0500600330877552 -0.0295027823235661 0.0123359136110408 -0.000765535330662814 -0.00663294841942996 0 0.00313177854965629 -0.0140324349789137 -0.0341381677317312 -3.41 0.59 -0.7 0.007
"2016" 2008-09-10 -0.0036902012443577 -0.00836231863649384 -0.00177406871377428 0.013063145552114 0.000157878689100999 0.0130264471279886 0.00695536488108028 -0.0307224189695959 -0.0144764769276647 0.0145592783655359 0.00614942216764724 0.7 0.4 -0.77 0.007
"2017" 2008-09-11 0.0203700742636144 0.00148791561640826 0.0571070176384716 0.0254280124141522 0.021519357044234 0.034039450121518 0.00953141506018795 0.000316969495403274 0.000288468692901001 0.018542507136605 0.0138063776026356 1.22 -0.94 0.19 0.007
"2018" 2008-09-12 0.02056902363832 -0.00148570501271839 -0.0115244745345302 0.0200964047055545 -0.00774459134863137 0.01024175568542 0.000958048495953934 -0.000633551538674615 -0.00691077534510165 -0.0120309570643264 0.00212153388258662 0.29 -0.17 -0.2 0.007
"2019" 2008-09-15 -0.213100238563758 -0.0396827223993124 -0.10128732638619 -0.0315666940021901 -0.00530777640443481 -0.0289650442504722 -0.013807487090059 -0.05009505874973 -0.0362420743851916 -0.0124982721853812 -0.0471358970277694 -4.45 1.49 -2.25 0.007
